ID,Early Start,Early Finish,Late Start,Late Finish,Early Full,Late Full
1,"After Jane dusts, the dining table",is clean,"After Jane dusts the dining table,",it's clean,"After Jane dusts, the dining table is clean","After Jane dusts the dining table, it's clean"
2,"After John runs, the race",is over,"After John runs the race,",it's over,"After John runs, the race is over","After John runs the race, it's over"
5,"Because Mike phoned, his mother",was relieved,"Because Mike phoned his mother,",she was relieved,"Because Mike phoned, his mother was relieved","Because Mike phoned his mother, she was relieved"
7,"Because Sarah answered, the teacher",was proud,"Because Sarah answered the teacher,",she was proud,"Because Sarah answered, the teacher was proud","Because Sarah answered the teacher, she was proud"
8,"Because Tara cleaned, the house",was spotless,"Because Tara cleaned the house,",it was spotless,"Because Tara cleaned, the house was spotless","Because Tara cleaned the house, it was spotless"
9,"Because George forgot, the party",had started,"Because George forgot the party,",he was sad,"Because George forgot, the party had started","Because George forgot the party, he was sad"
10,"Because Mike paid, the bill",was smaller,"Because Mike paid the bill,",it was smaller,"Because Mike paid, the bill was smaller","Because Mike paid the bill, it was smaller"
13,"If Charles is baby sitting, the children",are happy,"If Charles is baby sitting the children,",they're happy,"If Charles is baby sitting, the children are happy","If Charles is baby sitting the children, they're happy"
14,"If George is programming, the computer",is busy,"If George is programming the computer,",it's busy,"If George is programming, the computer is busy","If George is programming the computer, it's busy"
15,"If Ian doesn't notice, Beth",is fine,"If Ian doesn't notice Beth,",it's fine,"If Ian doesn't notice, Beth is fine","If Ian doesn't notice Beth, it's fine"
16,"If Joe starts, the meeting",will be long,"If Joe starts the meeting,",it'll be long,"If Joe starts, the meeting will be long","If Joe starts the meeting, it'll be long"
18,"If Laura is folding, the towels",will be neat,"If Laura is folding the towels,",they'll be neat,"If Laura is folding, the towels will be neat","If Laura is folding the towels, they'll be neat"
19,"When the baby finishes, the bottle",will be empty,"When the baby finishes the bottle,",it'll be empty,"When the baby finishes, the bottle will be empty","When the baby finishes the bottle, it'll be empty"
20,"If Barbara gives up, the ship",will be plundered,"If Barbara gives up the ship,",it'll be plundered,"If Barbara gives up, the ship will be plundered","If Barbara gives up the ship, it'll be plundered"
21,"If the Scissor Sisters open, the show",will be great,"If the Scissor Sisters open the show,",it'll be great,"If the Scissor Sisters open, the show will be great","If the Scissor Sisters open the show, it'll be great"
22,"If the maid packs, the suitcase",will be tidy,"If the maid packs the suitcase,",it'll be tidy,"If the maid packs, the suitcase will be tidy","If the maid packs the suitcase, it'll be tidy"
23,"If Tom wins, the contest",is over,"If Tom wins the contest,",it's over,"If Tom wins, the contest is over","If Tom wins the contest, it's over"
24,"If the doctor calls, your sister",will answer,"If the doctor calls your sister,",she'll answer,"If the doctor calls, your sister will answer","If the doctor calls your sister, she'll answer"
25,"If Jack cleans, the kitchen",will be filthy,"If Jack cleans the kitchen,",it'll be filthy,"If Jack cleans, the kitchen will be filthy","If Jack cleans the kitchen, it'll be filthy"
26,"If dad digs, the hole",will be deep,"If dad digs the hole,",it'll be deep,"If dad digs, the hole will be deep","If dad digs the hole, it'll be deep"
27,"When a man cheats, his friends",get angry,"When a man cheats his friends,",they're angry,"When a man cheats, his friends get angry","When a man cheats his friends, they're angry"
29,"When Gaga sings, the song",is a hit,"When Gaga sings the song,",it's a hit,"When Gaga sings, the song is a hit","When Gaga sings the song, it's a hit"
